,lat,lon,alt
208,-73.756142,40.66523,0
209,-74.168177,40.559681,0
210,-73.852303,40.872612,0
211,-73.744415,40.729198,0
212,-73.743118,40.696632,0
213,-74.034782,40.912445,0
214,-74.244339,40.624821,0
215,-73.997433,40.916799,0
216,-74.267235,40.660908,0
217,-73.830562,40.868726,0
218,-74.261337,40.641243,0
219,-74.148262,40.891125,0
220,-74.229553,40.590958,0
221,-74.075512,40.916378,0
222,-73.737518,40.768887,0
223,-73.857473,40.892779,0
224,-73.728973,40.673912,0
225,-74.19487,40.872429,0
226,-74.281754,40.770161,0
227,-73.755112,40.605076,0
228,-74.145996,40.905056,0
229,-73.826889,40.885616,0
230,-74.295113,40.689709,0
231,-74.261497,40.607571,0
232,-73.737396,40.627853,0
233,-73.715129,40.745591,0
234,-73.849564,40.902653,0
235,-74.099762,40.926113,0
236,-73.896629,40.928322,0
237,-73.853874,40.913582,0
238,-73.827263,40.900917,0
239,-74.153328,40.918793,0
240,-73.69352,40.707767,0
241,-73.837446,40.912594,0
242,-73.700867,40.659283,0
243,-74.171334,40.916375,0
244,-74.306473,40.629002,0
245,-73.683627,40.692504,0
246,-74.287775,40.566095,0
247,-74.234712,40.517726,0
248,-73.66021,40.686852,0
249,-73.857277,40.953217,0
250,-73.662025,40.658607,0
251,-73.773521,40.913479,0
252,-73.653259,40.705452,0
253,-73.789119,40.926161,0
254,-74.081642,40.976532,0
255,-73.871956,40.964672,0
256,-74.285416,40.884315,0
257,-73.637901,40.750618,0
258,-74.295822,40.536312,0
259,-73.641319,40.638874,0
260,-74.285851,40.520782,0
261,-74.332397,40.85947,0
262,-73.625534,40.704258,0
263,-74.367485,40.804516,0
264,-73.657494,40.592777,0
265,-73.628914,40.656586,0
266,-74.223454,40.95689,0
267,-73.616844,40.749813,0
268,-73.614296,40.679699,0
269,-74.34285,40.55724,0
270,-73.744614,40.938602,0
271,-74.333478,40.544189,0
272,-73.610306,40.73241,0
273,-74.168541,40.438084,0
274,-73.946274,41.011189,0
275,-74.392334,40.788837,0
276,-73.826266,40.983444,0
277,-74.047195,40.411327,0
278,-74.401443,40.656281,0
279,-74.301407,40.921173,0
280,-74.398499,40.631771,0
281,-73.593819,40.717319,0
282,-73.591148,40.70937,0
283,-73.590981,40.747627,0
284,-73.590233,40.679344,0
285,-74.423637,40.696293,0
286,-74.222969,40.437958,0
287,-74.388939,40.577618,0
288,-74.184189,40.42041,0
289,-73.58728,40.652676,0
290,-74.387135,40.862628,0
291,-74.105042,40.39592,0
292,-73.622795,40.862324,0
293,-74.361633,40.523605,0
294,-74.425715,40.617599,0
295,-74.296227,40.462521,0
296,-73.560005,40.779629,0
297,-74.299088,40.44743,0
298,-73.555611,40.653885,0
299,-73.548363,40.72541,0
300,-74.415225,40.555098,0
301,-74.395309,40.519901,0
302,-74.423294,40.871025,0
303,-74.395988,40.908764,0
304,-74.458365,40.808561,0
305,-74.226837,40.397789,0
306,-73.788023,41.031704,0
307,-74.42334,40.541862,0
308,-74.464878,40.610107,0
309,-74.127019,41.064142,0
310,-73.530716,40.778133,0
311,-73.510643,40.673237,0
312,-73.673454,40.994591,0
313,-74.476188,40.586348,0
314,-74.001213,41.092709,0
315,-73.864037,41.079853,0
316,-73.502541,40.749096,0
317,-73.93718,41.094337,0
318,-73.535088,40.859493,0
319,-74.07444,40.330563,0
320,-73.494095,40.72599,0
321,-74.356426,41.000448,0
322,-74.035484,41.106968,0
323,-74.399117,40.451767,0
324,-73.49543,40.811539,0
325,-73.483299,40.773811,0
326,-74.160469,41.09766,0
327,-74.382339,40.428017,0
328,-73.988441,40.304554,0
329,-74.059914,40.304138,0
330,-74.130547,41.112892,0
331,-74.48822,40.515884,0
332,-73.635384,41.024105,0
333,-74.470398,40.485802,0
334,-74.453628,40.466902,0
335,-74.513977,40.891361,0
336,-73.445992,40.728249,0
337,-74.306999,40.350712,0
338,-74.01889,40.284229,0
339,-74.466373,40.461916,0
340,-74.559296,40.567574,0
341,-73.862039,41.144466,0
342,-73.785355,41.126369,0
343,-74.042427,40.263634,0
344,-73.426201,40.828472,0
345,-73.411659,40.8041,0
346,-73.579461,41.041808,0
347,-74.189734,41.153071,0
348,-74.585899,40.54874,0
349,-74.610171,40.580416,0
350,-73.372536,40.704765,0
351,-74.009163,40.228401,0
352,-74.355804,40.30275,0
353,-73.983513,41.203007,0
354,-73.538658,41.05545,0
355,-74.084186,40.222743,0
356,-73.353348,40.684116,0
357,-74.505363,41.036365,0
358,-74.363922,41.132137,0
359,-74.028145,40.20961,0
360,-73.515327,41.057156,0
361,-74.644699,40.870823,0
362,-74.59684,40.958969,0
363,-74.547981,40.406368,0
364,-74.281189,40.243435,0
365,-74.648529,40.879326,0
366,-73.324959,40.749355,0
367,-73.504448,41.067802,0
368,-73.320206,40.738907,0
369,-74.641678,40.507072,0
370,-73.327835,40.838955,0
371,-73.30777,40.71962,0
372,-74.683228,40.568226,0
373,-73.33065,40.898788,0
